Checker,Annotaions,Comments,ReactCount,ReplyCount
,8,"ছোট ভাই, তোমার চোখের চশমাটা কি ঠিক আছে..???",6,1 reply
,8,ধর্ষিত ব্যক্তির জন্য সমবেদনা,2,1 reply
,8,"নেইমারের পেন্টেুর জন্য অনুদান স্বরূপ ""মেহেরবান"" গানের অনাকাঙ্ক্ষিত যে টাকা নোবেলম্যান পাবে তাহা দান করে দেওয়ার জন্য বিশেষভাবে অনুরোধ করিলাম",1,2 replies
,8,নেইমারের ছেড়া প্যান্ট কেনার জন্য অর্থের প্রয়োজন।ব্রাজিলের অর্থমন্ত্রণালয়ের সাথে কথা বলা হয়েছে। তারা বলেছে এ ব্যায় বহন করা তাদের জন্য কষ্টকর। তাই আমাদের ব্রাজিল ফ্যানদেরই কিছু করতে হবে। নেইমারকে সাহায্য করতে (সরাসরি নেইমারের পার্সোনাল নাম্বার),2,10 replies
,8,ব্রাহ্মণবাড়িয়া থেকে সস্তায় প্যান্ট ক্রয়ের ফলপ্রসু,1,4 replies
,8,নেইমারের প্যান্ট ছিড়ে গেছে।,2,5 replies
,8,শুধু পোস্ট এ হা হা রিয়েক্ট দেওয়ার জন্য বাড়ীর নিচ তালা থেকে ১০ তালায় ছাদে টেঙ্কির  উপরে উঠেছি নেটওয়ার্ক পাওয়ার জন্য এখন টেঙ্কির উপর থেকে কিভাবে নামবো বুঝতে পারছি না ।তবে জীবন স্বার্থক,2,3 replies
,8,ব্রাজিল ভাইদের জন্য ১ বালতি পানি আর নিয়ে প্রস্তুত আছি কেউ হতাশ হইয়েন না,2,
,8,মাত্তুল মারা সেরা পেরাক,2,
,8,এইজন্যই চায়না এক কবি বলিয়াছেন।,1,
,8,"আপনার আশেপাশে কোন গর্তে কিংবা খাটের তলায় লুকিয়ে থাকা ব্রাজিল ফ্যানদের জড়িয়ে ধরুন, তাদের চোখের অশ্রু মুছে দিন, তাদেরকে বোঝান জীবনটা সুন্দর, এই সুন্দর পৃথিবী দেখতে হলেও তাদের বেঁচে থাকতে হবে আরও কয়েকটা দিন তাদেরকে এর প্রয়োজনীয়তা সম্পর্কে ধারনা দিন। …",1,
,8,এর জন্যই তো বলি ছেলেটা এত সুন্দর  গান গায় কোথায় যেনো,1,
,8,"সবাই ধীরে সুহে গালাগালি করুন । ধাক্কা ধাক্কি করবেন না । সামাজিক দূরত্ব বজায় রেখে গালা - গালি করুন । উওেজিত হয়ে গালা - গালি করতে গিয়ে বানান ভুল করবেন । আমরা কমেন্ট করতে আসি না , শুধুমাত্র পড়তে আসি । তাই এমন ভাবে গালা - গালি করুন , যাতে আমাদের পড়তে …",1,
,8,"আপনার আশেপাশে কোন গর্তে কিংবা খাটের তলায় লুকিয়ে থাকা ব্রাজিল ফ্যানদের জড়িয়ে ধরুন, তাদের চোখের অশ্রু মুছে দিন, তাদেরকে বোঝান জীবনটা সুন্দর, এই সুন্দর পৃথিবী দেখতে হলেও তাদের বেঁচে থাকতে হবে আরও কয়েকটা দিন",2,
,8,কুংফুন্টিনা দের,1,
,8,নেইমারের জন্য প্যান্ট কেনার টাকা তোলা হবে। সবাই সাহায্যের হাত বাড়াই।পাশে থাকি,2,
,8,"লুঙ্গী পড়ে শুয়ে শুয়ে মোবাইল দেখতেছিলাম... হঠাৎ সামনে পোষ্টটা আসল, আর আমি এটা দেখে হাসতে হাসতে ঘর থেকে বেড়িয়ে গেলাম... রাস্তায় হাটার সময় দেখি পাড়ার ভাবী আর বৌদিরাও আমার দিকে তাকিয়ে হাসে..!!",3,
,8,"গালি তো আর এই জীবনে কম শুনলে না,তারপরেও কি ধরেনা তোমারে দাদো?",1,
,8,"একদিন নদীতে  গোসল করতে নেমেছে,,",3,
,8,নেইমারের ছেড়া প্যান্ট নিয়ে নোবেল কে দেওয়ার অনুরোধ করছি অনন্ত পাগলামি টা ধূর হোক,1,
,8,নেইমার পোলাটা ছিড়া প্যান্ট পরে খেলতেছে।,7,
,8,শরম শরম নেইমারের পেন্ট ছিরে গেল  আগে ও একবার মাঠের মধ্যে পেন্ট খুলে গেছিল,1,
,8, আপনার বাসার সামনের দোকানে খোঁজ নিয়ে দেখেন তো 7up  এর দাম বাড়ছে কিনা,2,
,8,নেইমারের প্যান্ট ছেড়ার তীব্র প্রতিবাদ জানাচ্ছি।,,
,8,"সবাই ধীরে সুস্হে গালাগালি করুন । ধাক্কা ধাক্কি করবেন না । সামাজিক দূরত্ব বজায় রেখে গালা-গালি করুন।  উওেজিত হয়ে গালা-গালি করতে গিয়ে বানান ভুল করবেন না । আমরা কমেন্ট করতে আসি না, শুধুমাএ পড়তে আসি। তাই এ",,
,8,ভাই নিচের ২টা Ping pong বলে কেটে  ওই ২টা হাতে নিয়ে Brazil চিল্লাইতে চিল্লাইতে মরে যান।,,
,8,আপনার গান শোনার চেয়ে হিরো আলমের গান শুনে সময় কাটানো অতি উত্তম,56,3 replies
,8,মেহেরবান গান আসছে আসছে শুনতে শুনতে ২ বাচ্চার মা হয়ে গেলাম তবুও মেহেরবান গান আর আসলো না,64,7 replies
,8,"মেহেরবানি করে মেহেরবান গানটা আজ রাতেই রিলিজ দেওয়ার ব্যবস্থা করুন ভাই, আজ তিনদিন হাগি নাহ, গানটা শুনতে শুনতে ক্লিয়ার একটা হাগা দেবো তাই",27,2 replies
,8,রিলিজ না হওয়া পর্যন্ত অামি ভাত খাবোনা,10,1 reply
,8,অনুরোধ করা লাগবে না।কেননা কেউ অপেক্ষাই করতেছে না।খামাখাই শুধু ভাও খাইতে চায়।,1,
,8,সবাই ভাত খাওয়া ছেড়ে দিয়ে অপেক্ষা করতেছে গানের জন্য,6,2 replies
,8,"সবাই ধীরে সুস্থে গালাগালি করুন। ধাক্কা ধাক্কি করবেন না। সামাজিক দূরত্ব বজায় রেখে গালা-গালি করুন। উত্তেজিত হয়ে গালা-গালি করতে গিয়ে বানান ভুল করবেন না। আমরা কমেন্ট করতে আসি না, শুধুমাত্র পড়তে আসি। তাই এমন ভাবে গালা-গালি করুন, যাতে আমাদের পড়তে অসুবিধা না…",1,4 replies
,8,গালি শুনারও একটা লিমিট আছে।লিমিটের বেশি গালি শুনলে তখন গালি আর ধরে না।নোবেল লিমিটের বেশি গালি শুনতেছে তাই নোবেলকে এখন আর গালি ধরে না।এজন্য আমি আর গালি দিলাম না।,2,
,8,"গানের ভিতর কাকলি ব্রান্ডের চশমা পরা চাই,,,,,,,",1,
,8,"এই মেহেরবান গানের জন্যে ৪ দিন ধরে খাওয়া দাওয়া বাথরুম বন্ধ করে বসে আছি, রিলিজ হয় না কেন",2,
,8,গানের পাখি হিরো আলমের কাছ থেকে শিক্ষা নে। কি ভাবে গান রিলিজ করতে হয়।,1,5 replies
,8,"সংঘত কারনে গালাগালি দিতে পারি না, শশুড় বাড়ির লোক জানে আমি খুবই সুশীল।   তোমার এই বা* দেখার জন্য আমরা দিন রাত পেজে তাকাই থাকি কবে এই পাপি গান ছাড়বে আর আমরা কাম্রাকাম্রি করে গান শুনবে! নাকি! ব্রু",1,
,8,আমার এমন অবস্থার জন্য একমাত্র নোবেল দায়ী,125,4 replies
,8,পৃথিবীর সবচেয়ে দামী আর দুর্লভ চশমা,21,6 replies
3,8,বৎস তোমাদের দুইজনের জন্য অনেক বিনোদন পাই,1,
,8,বন বিভাগের দৃষ্টি আকর্ষণ করছি! এই বিরল প্রজাতির বন্য সাপটিকে সংরক্ষণ করা হোক'  নয়তো যেকোনো সময় বিলুপ্ত হয়ে যেতে পারে।,1,
,8,আফ্রিকান জঙ্গলের রাজার পক্ষ থেকে শুভেচ্ছা ।,,
,8,আমি আফ্রিকান হিরো আলম বলছি কোন ভয় নেই,2,
,8,"চশমা ছাড়া নোবেল,,তেঁতুল জল ছাড়া ফুচকার মতো",1,2 replies
8,8,তোমার মত শিল্পীরা আমার কাছে গান শিখে।,,
,8,ওপসস ওখে,,
,8,চিক চিক করে বালি কোথাও নাই কাদা মুখ করে ঝকঝক হাত কেনো কালা,,
,8,শান্তিতে গোসল করতেও দেবে না,,
,8,"সবাই ধীরে সুস্থে গালাগালি করুন। ধাক্কা ধাক্কি করবেন না। সামাজিক দূরত্ব বজায় রাখুন। উত্তেজিত হয়ে গালা-গালি করতে গিয়ে বানান ভুল করবেন না। আমরা কমেন্ট করতে আসি না, শুধুমাত্র পড়তে আসি। তাই এমন ভাবে গালা-গালি করুন, যাতে আমাদের পড়তে অসুবিধা না হয়।",1,
,8,উহ আহ,3,1 reply
,8,এক গ্রামে দুই ভাই থাকত। একবার তাদের মাঝে খুব বড়সড় ঝগড়া হল। বড় ভাই রাগ করে জাপান চলে গেলো। ছোট ভাই চলে গেলো সুদান। সেখানে গিয়ে বিয়ে করলো। একটা ছেলে হলো। তারপর সে ছোট ভাই আবার দেশে ফিরে এলো। সবাই তাকে সুদানী ডাকা শুরু করলো। তাই তার ছেলের নাম হলো সুদানীর …,,
,8,"বিমানে বসে হাওয়া খেতে খেতে উগান্ডা যাচ্ছিলাম হঠাৎ এই পোষ্ট চোখের সামনে পড়লো! খুশির ঠেলায় বিমানের জানালা দিয়ে মোবাইলটা পড়ে গেল,জীবনের মায়া ভুলে আমিও লাফ দিলাম মোবাইলের জন্য ,আমাকে তো লাভ  দিতে হবে ! কিছুহ্মণ উড়ার পর উত্তর বিষুব রেখা বরাবর 4…",,
,8,কমেন্ট করতে এসে কেউ ধাক্কাধাক্কি,1,
,8,দারা আইতাছি,3,2 replies
,8,পোস্ট দেখে হাসতে হাসতে লুঙ্গি খুঁজে পাচ্ছিনা,1,
,8,তুমি আমার নাগরাজ আমি তোমার নাগ রানি,2,
,8,নোবেল আমার নিজের আত্মীয় মানে আমার দাদার  মেজো ফুফুর দেবরের ছোট ছেলের বড় বউয়ের তালতো বোন মামাতো ভাই।তাই নোবেল রে ভালা কইরা দেখছিলাম।হালায় ছোটবেলার মেলার চশমা ফিন্দা ভাব নিছিলো আইজ আমার চোখে বড় বড় ইট লাগাতে হয়।ওরে ভাই মাইনষে তোমারে কি কয় হুনো নি? তোমার ম…,13,1 reply
,8,"একদিন নদীতে সানিলিওন আর মিয়া খলিফা গোসল করতে নেমেছে,,",,
,8,ডিম পারা মুরগি বিক্রি করে ডেটা কিনি শুধু আপনার স্ট্যাটাস এর কমেন্ট পড়ার জন্য,1,1 reply
,8,নোবেল তুমি যদি এই ধরণের কাজ বন্ধ না করো তবে আমি নিজেকে তিলে তিলে শেষ করে দিব,1,1 reply
,8,"সেফুদার ডিম থেরাপি লাগবে তোমার,শুরু থেকে এখন পর্যন্ত এটুকুই আঁচ করতে পারলাম।",,
,8,এই রকম পোস্ট দেখে মনে হয় নিজের বিচিটা দরজাই চিপায় রেখে হালকা করে চাপ দিয়ে চমকে উঠি,,
,8,"নোবেল ভাই কাকলি ফার্নিচারের সেই ঐতিহাসিক  চশমা দেখতে চায় জাতি , একটু ঘুরে সামনে তাকান",352,17 replies
,8,হালকা বায়ে গিয়ে ঝাঁপিয়ে পড়লেই শান্তি  বিশ্বাস কর ভাই-- কেউ আফসোস করবে না!! দেশের মানুষ হাফ ছেড়ে বাঁচবে,46,7 replies
,8,এরপর উগান্ডা গেলে কেমন হয়,74,11 replies
,8,"হয় বাঁদিকে নয় ডানদিকে যা। এভাবে রাস্তার মাঝখান দিয়ে হাঁটিস না, যখন তখন দুর্ঘটনা ঘটে যাবে ।",38,2 replies
,8,এদের সাথে ভালো ব্যবহার করুন।গালাগালি করবেন না।হতে পারে এরা মানুষিক ভাবে অসুস্থ কিন্তু আমাদের মতোই মানুষ। সঠিক চিকিৎসা ও সেবাযত্ন পেলে এরাও আমাদের সাথে চলাফেরা করতে পারবে। প্রদানমন্ত্রীর দৃষ্টি আকর্ষণ করছি এইসব মানুষিক বিকারগস্তদের ভালো একটু চিকিৎসার ব্…,73,8 replies
,8,"যারা কমেন্ট করছেন বা করবেন দয়া করে বানান ঠিক রাখুন। উত্তেজিত অবস্থায় দ্রুত কমেন্ট করতে গিয়ে বানান ভুল করবেন না। আমরা যারা কমেন্ট পড়তে আসি, আমাদের পড়তে বেশ অসুবিধা হয়।তাছাড়া যারা গালাগালি করবেন সিরিয়াল অনুসারে করুন। অতিরিক্ত হুরোহুরিতে প্যাচ লাগতে পারে…",6,
,8,দামে কম মানে ভালো,6,1 reply
,8,ভাই প্লিজ ঐতিহ্যবাহী পাবনা জিলা স্কুলে একটু আসিস প্লিজ!,5,1 reply
,8,"হাল্কা মুতে এসে একটু বামে চেপে চেগায়া শুয়ে পরুন,আর ট্রেনের অপেক্ষা করুন।কোনোদিন একলা হাটাহাটি করতে হবেনা এইটুকু গ্যারান্টি দিচ্ছি।",5,
,8,"কলিকাতা হারবাল, শনির আখড়া বাসস্ট্যান্ড সংলগ্ন। গুরে আসুন তখন ডাক দেয়ার আগেই সবাই আসবে",3,
,8,সামনে থেকে ট্রেন আসলে কাইন্ডলি ওটার সামনে গিয়া দাঁড়াবেন একটু.... কিন্তু আমি জানি আপনি তারপরেও মরবেন না.... কারণ শয়তান সহজে মরে নাহ *--*,5,
,8,কাধে কী সবসময়ই এই একটা ভেনিটি ব্যাগ রাখা লাগে,4,1 reply
,8,দামে কম মানে ভালো,8,1 reply
,8,কেন আপনার জন্য তো পারফেক্ট জায়গা আছে উগান্ডা,3,
,8,"সবাই ধীরে সুস্থে গালাগালি করুন। ধাক্কা ধাক্কি করবেন না। সামাজিক দূরত্ব বজায় রেখে গালা-গালি করুন। উত্তেজিত হয়ে গালা-গালি করতে গিয়ে বানান ভুল করবেন না। আমরা কমেন্ট করতে আসি না, শুধুমাত্র পড়তে আসি। তাই এমন ভাবে গালা-গালি করুন, যাতে আমাদের পড়তে অসুবিধ…",2,
,8,উগান্ডা অথবা সুদান ঘুরে আসতে পারেন। আপনার জন্য শুভকামনা রইলো,4,
,8,দুম করে এবার নোবেল প্রাইজটা জিতে নেন তো দেখি,4,2 replies
,8,খোকা বাবু যায় লাল চশমা  ব্যাগ জুতা পায়  বড় বড় আপি ভাইরা সব হাহা  মাইরা যায়,4,
,8,ভায়া এডা রেললাইন।। ট্রেন এর হাগু টাগু থাকতে পারে।।হঠাৎ মুখ থুবড়ে পরবা।দেখবা লাল লাল চশমা হলুদ হয়ে গেসে,3,
,8,"এক গ্রামে এক কৃষকের গরু হারিয়ে গেছে। সারাদিন খোঁজা খুজি করে না পেয়ে শুষ্ক মুখে বাড়িতে ফিরে আসে, দাওয়ায় বসে পুত্রকে বলে ‘এক গ্লাস পানি দাও তো ভাই?’ স্ত্রী ছিলো রান্নাঘরে- এটা শুনে বলে ‘তুমি কি চোখের মাথা খেয়েছ? পাগল হয়ে গেলে যে ছেলে কে ভাই বলতেছ?’ জবাব…",3,1 reply
,8,যদি আপনার ডাক শুনে কেউ না আসে তাহলে উগাণ্ডায় যান,3,
,8,"কাল আমার পিকের সাথে আমি এই ক্যাপশন দিছি,,আর তুমিও হালায় আমার দেখে এই ক্যাপশন দিছো আজ?মানে আমি যা করব তোমাকেও তাই করতেই হবে !",3,
,8,চিড়িয়াখানা থেকে এইমাত্র একটা প্রাণী পালিয়ে  গিয়েছে,1,
,8,"ব্যাগটা সুন্দর আছেকই থেকে কিনসেন,নিশ্চয় গুলিস্থানের প্রডাক্ট",2,
,8,যখন ই আমার মন খারাপ থাকে আমি তখনি নোবেল এর পোষ্ট এ করা  পাব্লিকের  কমেন্ট গুলো পড়তে থাকি...এত বিনোদ পাই যে হাসির ঠেলাতে মন খারাপ ছিলো সেটাই ভুলে যাই,1,
,8,"এক লোকের দুইটা মেয়ে ছিলো। পারিবারিক সমস্যার কারণে, বাবা-মা বাধ্য হয়ে একটা মেয়েকে সুদান ওঅন্যটিকে উগান্ডায় পাঠিয়ে দেন। অনেক বছর পর সুদানের মেয়েটা দেশে ফিরে আসে। তাই বাবা-মা মেয়েটিকে বিবাহ দিয়ে দেন। ভাগ্যের গুনে একটা মেয়ে সন্তান জন্ম নেয়। মেয়েটি বড় হয়ে য…",878,31 replies
,8,"লুঙ্গী পড়ে শুয়ে শুয়ে মোবাইল দেখতেছিলাম।হঠাৎ সামনে পোস্ট টি আসল,আর আমি এটা দেখে হাসতে হাসতে ঘর থেকে বেড়িয়ে গেলাম।রাস্তায় হাটার সময় দেখি পাড়ার ভাবী আর বৌদিরাও আমার দিকে তাকিয়ে হাসে",422,27 replies
,8,"সবাই ধীরে সুস্থে গালাগালি করুন । ধাক্কা ধাক্কি করবেন না । সামাজিক দূরত্ব বজায় রেখে গালা - গালি করুন । উওেজিত হয়ে গালা - গালি করতে গিয়ে বানান ভুল করবেন । আমরা কমেন্ট করতে আসি না , শুধুমাত্র পড়তে আসি । তাই এমন ভাবে গালা - গালি করুন , যাতে আমাদের পড়ত…",190,20 replies
,8,যেই চেডের মেহমান ঐ চেডের তরকারি,29,4 replies
,8,জাতে জাত না মিললে পাতে ভাত জুটে না,23,1 reply
,8,"মাতালে বোতল চিনে,শুয়রে চিনে কচু",30,1 reply
,8,ছোটবেলায় কত কষ্ট করে মাতৃভাষায় সব ধরনের গালি শিখেছিলাম কিন্তু চর্চার অভাবে অধিকাংশ গালি  আজ ভুলে যেতে বসেছি। কিন্তু মাঝে মাঝে  কিছু বালসালের অবস্থা দেখলেই মন চায় সেই গালি গুলি পুনরায় চর্চা করি কিন্তু দুঃখজনক হলেও সত্য আমার আইডিতে আমার অনেক বড় ভাই …,8,2 replies
,8,"বাহ !অসাধারণ বলেছেন,আপনার জন্য থাকছে কেয়া কসমেটিকসের সৌজন্যে একটি মহা মূল্যবান ইয়াবা মেশিন,পরিবেশ বান্ধব গাঞ্জার গাছ , আপনাকে জামালপুরের ডিসি,ফেনীর সিরাজউদ্দৌলা,ওসি মােয়াজ্জেম,কক্সবাজারের বাবা বদি,বরগুনার মিন্নি,টেন্ডার কিং জি কে শামীম , ক্যাসিনাে খ…",7,
,8,বাহ্ হেড স্যার এর সার্টিফিকেট এ ছাত্রী মহাখুশি,14,
,8,পরীমনি প্রায়ই রাত ১২ টায় ঢাকার বিভিন্ন ক্লাবে গিয়ে 'রূহ আফজা' পান করেন এবং 'তাহাজ্জুদ' নামাজ পড়েন!,6,
,8,"আহারে,২টা সহজ সরল মেয়ে,এদের দিয়েই অনেক বৈদেশিক মুদ্রা অর্জন করা সম্ভব,সুযোগের অভাবে তারা আজ উঠতে পারছেনা",7,8 replies
,8,দুইটাই রাত বিরাতে কঠোর পরিশ্রম করে দেশের সুনাম যা বাকি আছে তা বয়ে আনবে,5,
,8,আমার দেখা দুইটা ভার্জিনিটি র মাইলফলক,14,6 replies
,8,কেউ স্ট্রাগল করে মাঠে কেউ করে খাটে এটাই তফাত,5,2 replies
,8,যোগ্য দেখে পক্ষ নেয় আরেক অযোগ্য,5,
,8,"চোরে চোরে আলি,,এক চোরে বিয়া করে আর এক চোরের হালিএক চো আইসে আর এক চো এর পক্ষ টানতে",11,
,8,এখন কিছু লোক এসে আন্দাজে বলবে এরা দুই বোন।,11,6 replies
,8,"হ আর গার্মেন্টস শিল্পের নারী শ্রমিক,কাজের বুয়ারা তো ভোক্সদি",11,
,8,গাঁর মেরেছে ﻿ এ তো দেখছি ট্রু লাভ,14,
,8,চামচিকি ও একটা  পাখি,11,6 replies
,8,শেষমেশ এমন একজনের কান্দে ভর করলেন আফা যে কিনা নিজেই ডুবে গেছে,6,2 replies
,8,মার্ক জুকারবার্গের কাছে অনুরোধ করছি শুধু বাংলাদেশের জন্য প্লিজ একটা জুতার রিয়্যাক্ট চালু করেন।,5,1 reply
,8,আহারে,7,2 replies
,8,চারদিকে এত ওয়াও লাগে কে????,6,1 reply
,8,ভাবছিলাম  কিছু  লিখবো । ওমা কমেন্টে গিয়ে দেখি আমার শব্দ বোমা গুলো  সবাই কপি করে পেলছেশুদু একটা জিনিশ বাকি রয়ে গেছে সানাই যেমন নিচতলা  ভাডা দিয়া উপরতলা করছে টিক এই ধরনের রাতের রানী..,4,1 reply
,8,ছোট্ট বেলায় অনেক কষ্ট করে মাতৃভাষার সব ধরনের গালি শিখেছিলাম।,2,
,8,দুই  ব্যবহৃত প্রাণ সস এর (তিন টাকা দামের)  প্লাস্টিকের  পেকেট একই প্রেমে বন্দী।,3,
,8,মামুনি রাতে কী ঠিকঠাকমত খাইছিলা?,5,
,8,ছোট্ট বেলায় অনেক কষ্ট করে মাতৃভাষায় সব ধরনের গালি শিখেছিলাম।,1,
,8,ছোট্ট বেলায় অনেক কষ্ট করে  সব ধরনের গালি শিখেছিলাম।,2,2 replies
,8,মার্ক জুকারবার্গের কাছে অনুরোধ করছি শুধু বাংলাদেশের জন্য প্লিজ একটা জুতার রিয়্যাক্ট চালু করেন।,2,
,8,বেগুনের সাথে সুটকির মিল থাকবে একটাই সাভাবিক।,8,1 reply
,8,মামা পরিমনির এই নিউজে তোর কোন কমেন্ট দেখতে না পেয়ে আমি মর্মাহত হলাম। দু একটা রসযুক্ত কমেন্ট করে আমাদের মনোবেদনা দূর কর বন্ধু।,4,1 reply
,8,আহারে সোনা গো আমার...,6,2 replies
,8,"ছোট্ট বেলায় অনেক কষ্ট করে মাতৃভাষার সব ধরনের গালি শিখেছিলাম কিন্তু চর্চার অভাবে অধিকাংশ গালিই ভুলে যেতে বসেছি, কিন্তু মাঝে মাঝে এমন পোষ্ট দেখলে মন চায় গালিগুলো পুনরায় চর্চা করি",,
,8,উল্টা-পাল্টা কিছু লিখতে পারিনা!,1,
,8,তোদের পোস্ট দেখলে হাসতে হাসতে পাদ আয়া পড়ে,3,
,8,"ভাইয়েরা ধীরেধীরে কমেন্টগুলো করেন ,,আমাদের কমিটির কাছে অনেক অভিযোগ আসতেছে আপনাদের দ্রুত কমেন্টের জন্য অনেক কমেন্ট রিডার সদস্যের কমেন্ট পড়তে অসুবিধা হচ্চে। আহ্বানে",2,
,8,দুজনকে গালি দেওয়ার মতো অনেক উন্নত শব্দ আমার ডিকশিনারিতে আছে শুধু ব্যাবহার করতে পারছি না কারণ আমার অনেক কাছের মানুষ জন  দেখে ফেলার সম্ভাবনা আছে তাই,1,
,8,যাদের নামের শেষে মনি আছে তাদের কোনো ভরসা নেই।,6,1 reply
,8,এই রকম পোস্ট দেখে মনে হয় নিজের বিচিটা দরজাই চিপায় রেখে হালকা করে চাপ দিয়ে চমকে উঠি,2,
,8,তুমাল ততা কেউ তুতেও না,2,
,8,কে কার সার্টিফিকেট দিচ্ছে !! বাপরে বাপ,7,
,8,একটা হাহা রিয়েক্ট দিয়ে যাওয়া নৈতিক দায়িত্ব,6,
,8,মেলায় হারিয়ে যাওয়া  দুই বোন।,6,2 replies
,8,"হ বুইন, তুই অনেক লোকের সাথে স্ট্রাগল করছিস, আর অনেক লোকও তোর সাথে স্ট্রাগল করছে, আবেগে কান্দন আসে খালি",7,3 replies
,8,"পরিমনী, তসলিমা দুজনেই বাংলাদেশের ব্যাহিক আয়ের উৎস! তাদের জন্য বাংলাদেশের মাথাপিছু শতকরা আয় বৃদ্ধি পাচ্ছে",2,
,8,পড়াশোনা করছি যদি না করতাম তাহলে তোর চৌদ্দপুরুষরে টেনে এনে বাংলা ওয়াজ করতাম,1,
,8,চোরের সাক্ষী ডাকাত,8,
,8,এক ব্যবসায়ীর দুঃখ দেখে আরেক ব্যবসায়ী মর্মাহত,5,1 reply
,8,ক রো না র   স ম য়   আ প না রা   ঠে লা ঠে লি   ক র বে ন   না   স বা ই   ফা ক    ফা ক   ক রে   ক মে ন্ট    ক রু ন,2,
,8,বাপুরে আমারে একটু সাইড দেও আমি কমেন্ট পড়তে এসেছি কেউ পাশ দিয়া ঠেলা দিয়া ফেলে দিও না আমি বুড়া মানুষ,1,1 reply
,8,ভাল্লাগছে ভাই ভালো লাগছে তোর মত দালাল রে ভাল্লাগছে।,18,
,8,না মানে পরী ত  দেখেন কিছু দেয়নি,,
,8,তাই বুঝি জনাব?,14,
,8,খুব আন্তরিক তাই না??,1,
,8,দর্শকপ্রিয়!?,24,
,8,মাসুদ তুই কি ভালো হবি না,2,3 replies
,8,বিয়া করে ফালা।,23,
,8,তাই নাকি,2,
,8,এক কথায় পরীর প্রেমে পরে গেছেন,23,
,8,তাই না!!,88,
,8,তাই বুঝি জনাব?,14,
,8,খুব আন্তরিক তাই না??,1,
,8,দর্শকপ্রিয়!?,24,
,8,মাসুদ তুই কি ভালো হবি না,2,3 replies
,8,"সবাই ধীরে সুস্থে গালাগালি করুন। ধাক্কা ধাক্কি করবেন না। সামাজিক দূরত্ব বজায় রেখে গালা-গালি করুন। উত্তেজিত হয়ে গালা-গালি করতে গিয়ে বানান ভুল করবেন না। আমরা কমেন্ট করতে আসি না, শুধুমাত্র পড়তে আসি। তাই এমন ভাবে গালা-গালি করুন, যাতে আমাদের পড়তে অসুবিধা না…",3,1 reply
,8,"আমরা সাধারণ জনগন চাই যে,এক রাতের জন্য পরিমনি যত টাকা চুক্তি করেছিলো সবগুলো টাকা যেন ঠিক ভাবে পায়। এ ঘটনা থেকে পরিমনির কাস্টমারদের শিক্ষা নেওয়া উচিৎ, পরিমনির টাকা নিয়া হেরফের করা যাবে না।",6,
,8,সবকিছু ঠিকঠাক চলছিল। পৃথিবী ঘুরছিল সূর্যের চারপাশে। চাঁদ ঘুরছিল পৃথিবীর চারপাশে। এন্টার্কটিকায় বরফ গলছিল। বাংলাদেশ সাঁতার কাটছিল উন্নয়নের আনন্দাশ্রু জলে। তরুণ তরুণীরা একে অপরকে ভালোবাসছিল কোনোরকম পাসওয়ার্ড আদান প্রদান ছাড়াই। মাসুদও ভালো হয়ে যাচ্ছিল। কো…,6,1 reply
,8,বেড়া এগুন লয় কিয়া করতাম,6,
